ID,Latitude,Longitude,Altitude
278,"-29,6650127000","-50,5896966000","31,213"
279,"-29,6690219000","-50,5923368000","31,222"
280,"-29,6643282000","-50,5889143000","31,223"
281,"-29,6643282000","-50,5888166000","31,223"
282,"-29,6638393000","-50,5876431000","31,223"
283,"-29,6660883000","-50,5908700000","31,224"
284,"-29,6660883000","-50,5907722000","31,224"
285,"-29,6677507000","-50,5916523000","31,226"
286,"-29,6631548000","-50,5863719000","31,227"
287,"-29,6689241000","-50,5923368000","31,234"
288,"-29,6632526000","-50,5865675000","31,238"
289,"-29,6645238000","-50,5889143000","31,250"
290,"-29,6645238000","-50,5888166000","31,250"
291,"-29,6655016000","-50,5901855000","31,251"
292,"-29,6648172000","-50,5894033000","31,256"
293,"-29,6657950000","-50,5905767000","31,257"
294,"-29,6653061000","-50,5824606000","31,257"
295,"-29,6643282000","-50,5882298000","31,263"
296,"-29,6688263000","-50,5923368000","31,265"
297,"-29,6654039000","-50,5900878000","31,267"
298,"-29,6652083000","-50,5898922000","31,268"
299,"-29,6653061000","-50,5899900000","31,268"
300,"-29,6651105000","-50,5897944000","31,270"
301,"-29,6656972000","-50,5904789000","31,270"
302,"-29,6670662000","-50,5913589000","31,273"
303,"-29,6637415000","-50,5871542000","31,276"
304,"-29,6673595000","-50,5914567000","31,278"
305,"-29,6643282000","-50,5842207000","31,280"
306,"-29,6676529000","-50,5915545000","31,281"
307,"-29,6641327000","-50,5876431000","31,281"
308,"-29,6655994000","-50,5902833000","31,281"
309,"-29,6647194000","-50,5892077000","31,287"
310,"-29,6633504000","-50,5866653000","31,288"
311,"-29,6642304000","-50,5878387000","31,289"
312,"-29,6643282000","-50,5881321000","31,290"
313,"-29,6666751000","-50,5911634000","31,291"
314,"-29,6689241000","-50,5919457000","31,298"
315,"-29,6698042000","-50,5923368000","31,299"
316,"-29,6690219000","-50,5919457000","31,307"
317,"-29,6638393000","-50,5872520000","31,310"
318,"-29,6688263000","-50,5919457000","31,311"
319,"-29,6641327000","-50,5883276000","31,313"
320,"-29,6661861000","-50,5913589000","31,314"
321,"-29,6668706000","-50,5912612000","31,314"
322,"-29,6646216000","-50,5890121000","31,319"
323,"-29,6691197000","-50,5923368000","31,320"
324,"-29,6636437000","-50,5870564000","31,330"
325,"-29,6649149000","-50,5895010000","31,331"
326,"-29,6699019000","-50,5924346000","31,334"
327,"-29,6637415000","-50,5851985000","31,337"
328,"-29,6637415000","-50,5851008000","31,337"
329,"-29,6691197000","-50,5919457000","31,338"
330,"-29,6630570000","-50,5857852000","31,339"
331,"-29,6635460000","-50,5872520000","31,340"
332,"-29,6642304000","-50,5886210000","31,341"
333,"-29,6643282000","-50,5880343000","31,344"
334,"-29,6640349000","-50,5874476000","31,348"
335,"-29,6639371000","-50,5873498000","31,350"
336,"-29,6639371000","-50,5878387000","31,353"
337,"-29,6630570000","-50,5858830000","31,355"
338,"-29,6693152000","-50,5919457000","31,355"
339,"-29,6640349000","-50,5848074000","31,357"
340,"-29,6630570000","-50,5863719000","31,360"
341,"-29,6663817000","-50,5914567000","31,373"
342,"-29,6692174000","-50,5919457000","31,377"
343,"-29,6644260000","-50,5886210000","31,379"
344,"-29,6635460000","-50,5869587000","31,384"
345,"-29,6635460000","-50,5868609000","31,384"
346,"-29,6701953000","-50,5921412000","31,384"
347,"-29,6651105000","-50,5829495000","31,384"
348,"-29,6648172000","-50,5893055000","31,384"
349,"-29,6699997000","-50,5920434000","31,386"
350,"-29,6634482000","-50,5852963000","31,393"
351,"-29,6654039000","-50,5904789000","31,395"
352,"-29,6633504000","-50,5853941000","31,396"
353,"-29,6632526000","-50,5854919000","31,397"
354,"-29,6687285000","-50,5923368000","31,400"
355,"-29,6630570000","-50,5856875000","31,408"
356,"-29,6698042000","-50,5919457000","31,409"
357,"-29,6631548000","-50,5856875000","31,416"
358,"-29,6645238000","-50,5895988000","31,417"
359,"-29,6687285000","-50,5919457000","31,417"
360,"-29,6679462000","-50,5917501000","31,417"
361,"-29,6636437000","-50,5851985000","31,419"
362,"-29,6636437000","-50,5851008000","31,419"
363,"-29,6635460000","-50,5852963000","31,419"
364,"-29,6634482000","-50,5853941000","31,420"
365,"-29,6632526000","-50,5855897000","31,420"
366,"-29,6631548000","-50,5865675000","31,420"
367,"-29,6637415000","-50,5850030000","31,421"
368,"-29,6633504000","-50,5854919000","31,422"
369,"-29,6638393000","-50,5849052000","31,424"
370,"-29,6645238000","-50,5887188000","31,425"
371,"-29,6631548000","-50,5857852000","31,427"
372,"-29,6667728000","-50,5911634000","31,427"
373,"-29,6639371000","-50,5848074000","31,429"
374,"-29,6642304000","-50,5877409000","31,430"
375,"-29,6647194000","-50,5891099000","31,430"
376,"-29,6637415000","-50,5875454000","31,437"
377,"-29,6652083000","-50,5897944000","31,453"
378,"-29,6641327000","-50,5844163000","31,457"
379,"-29,6640349000","-50,5846118000","31,458"
380,"-29,6650127000","-50,5895988000","31,460"
381,"-29,6639371000","-50,5847096000","31,460"
382,"-29,6640349000","-50,5847096000","31,465"
383,"-29,6632526000","-50,5853941000","31,465"
384,"-29,6636437000","-50,5852963000","31,466"
385,"-29,6638393000","-50,5848074000","31,466"
386,"-29,6659906000","-50,5912612000","31,467"
387,"-29,6631548000","-50,5854919000","31,469"
388,"-29,6641327000","-50,5875454000","31,469"
389,"-29,6642304000","-50,5843185000","31,469"
390,"-29,6644260000","-50,5892077000","31,473"
391,"-29,6692174000","-50,5923368000","31,474"
392,"-29,6639371000","-50,5849052000","31,475"
393,"-29,6638393000","-50,5850030000","31,476"
394,"-29,6641327000","-50,5845140000","31,476"
395,"-29,6651105000","-50,5896966000","31,484"
396,"-29,6642304000","-50,5842207000","31,486"
397,"-29,6653061000","-50,5898922000","31,487"
398,"-29,6635460000","-50,5853941000","31,488"
399,"-29,6642304000","-50,5844163000","31,493"
400,"-29,6641327000","-50,5846118000","31,496"
401,"-29,6643282000","-50,5890121000","31,499"
402,"-29,6683374000","-50,5922390000","31,503"
403,"-29,6635460000","-50,5851985000","31,507"
404,"-29,6635460000","-50,5851008000","31,507"
405,"-29,6642304000","-50,5845140000","31,516"
406,"-29,6653061000","-50,5897944000","31,519"
407,"-29,6639371000","-50,5850030000","31,519"
408,"-29,6641327000","-50,5847096000","31,521"
409,"-29,6638393000","-50,5851985000","31,527"
410,"-29,6638393000","-50,5851008000","31,527"
411,"-29,6640349000","-50,5849052000","31,529"
412,"-29,6682396000","-50,5919457000","31,531"
413,"-29,6646216000","-50,5889143000","31,539"
414,"-29,6646216000","-50,5888166000","31,539"
415,"-29,6642304000","-50,5846118000","31,539"
416,"-29,6643282000","-50,5843185000","31,543"
417,"-29,6641327000","-50,5848074000","31,544"
418,"-29,6645238000","-50,5839273000","31,544"
419,"-29,6654039000","-50,5899900000","31,553"
420,"-29,6634482000","-50,5866653000","31,555"
421,"-29,6632526000","-50,5856875000","31,560"
422,"-29,6681418000","-50,5921412000","31,561"
423,"-29,6642304000","-50,5887188000","31,562"
424,"-29,6642304000","-50,5841229000","31,565"
425,"-29,6653061000","-50,5821672000","31,570"
426,"-29,6637415000","-50,5852963000","31,570"
427,"-29,6652083000","-50,5827539000","31,571"
428,"-29,6671640000","-50,5913589000","31,572"
429,"-29,6697064000","-50,5923368000","31,578"
430,"-29,6637415000","-50,5849052000","31,582"
431,"-29,6646216000","-50,5807005000","31,585"
432,"-29,6652083000","-50,5896966000","31,587"
433,"-29,6674573000","-50,5914567000","31,588"
434,"-29,6632526000","-50,5864697000","31,614"
435,"-29,6643282000","-50,5841229000","31,616"
436,"-29,6686307000","-50,5923368000","31,623"
437,"-29,6658928000","-50,5911634000","31,627"
438,"-29,6653061000","-50,5811894000","31,627"
439,"-29,6644260000","-50,5842207000","31,628"
440,"-29,6655994000","-50,5810916000","31,630"
441,"-29,6631548000","-50,5862742000","31,634"
442,"-29,6643282000","-50,5879365000","31,635"
443,"-29,6643282000","-50,5844163000","31,637"
444,"-29,6644260000","-50,5841229000","31,641"
445,"-29,6645238000","-50,5841229000","31,646"
446,"-29,6653061000","-50,5903811000","31,650"
447,"-29,6643282000","-50,5840251000","31,654"
448,"-29,6636437000","-50,5850030000","31,655"
449,"-29,6655016000","-50,5811894000","31,655"
450,"-29,6654039000","-50,5813849000","31,659"
451,"-29,6666751000","-50,5915545000","31,663"
452,"-29,6654039000","-50,5807982000","31,665"
453,"-29,6647194000","-50,5838296000","31,666"
454,"-29,6642304000","-50,5847096000","31,668"
455,"-29,6655016000","-50,5810916000","31,670"
456,"-29,6655016000","-50,5808960000","31,672"
457,"-29,6695108000","-50,5918479000","31,672"
458,"-29,6636437000","-50,5874476000","31,672"
459,"-29,6648172000","-50,5836340000","31,673"
460,"-29,6649149000","-50,5834384000","31,673"
461,"-29,6649149000","-50,5833406000","31,673"
462,"-29,6651105000","-50,5830473000","31,677"
463,"-29,6653061000","-50,5814827000","31,677"
464,"-29,6653061000","-50,5816783000","31,679"
465,"-29,6653061000","-50,5815805000","31,679"
466,"-29,6644260000","-50,5893055000","31,680"
467,"-29,6654039000","-50,5812872000","31,682"
468,"-29,6648172000","-50,5807005000","31,684"
469,"-29,6655016000","-50,5809938000","31,684"
470,"-29,6635460000","-50,5867631000","31,685"
471,"-29,6644260000","-50,5840251000","31,686"
472,"-29,6629593000","-50,5859808000","31,687"
473,"-29,6646216000","-50,5839273000","31,689"
474,"-29,6653061000","-50,5817761000","31,691"
475,"-29,6653061000","-50,5826561000","31,693"
476,"-29,6653061000","-50,5827539000","31,698"
477,"-29,6662839000","-50,5909678000","31,700"
478,"-29,6650127000","-50,5831451000","31,700"
479,"-29,6645238000","-50,5840251000","31,701"
480,"-29,6652083000","-50,5828517000","31,702"
481,"-29,6653061000","-50,5807982000","31,703"
482,"-29,6647194000","-50,5837318000","31,703"
483,"-29,6653061000","-50,5813849000","31,703"
484,"-29,6653061000","-50,5823628000","31,705"
485,"-29,6648172000","-50,5892077000","31,705"
486,"-29,6653061000","-50,5822650000","31,707"
487,"-29,6633504000","-50,5855897000","31,708"
488,"-29,6648172000","-50,5835362000","31,708"
489,"-29,6654039000","-50,5808960000","31,709"
490,"-29,6629593000","-50,5860786000","31,710"
491,"-29,6653061000","-50,5820694000","31,714"
492,"-29,6694130000","-50,5918479000","31,715"
493,"-29,6696086000","-50,5918479000","31,717"
494,"-29,6654039000","-50,5811894000","31,717"
495,"-29,6653061000","-50,5825584000","31,718"
496,"-29,6655994000","-50,5809938000","31,718"
497,"-29,6653061000","-50,5812872000","31,722"
498,"-29,6652083000","-50,5807005000","31,722"
499,"-29,6649149000","-50,5894033000","31,725"
500,"-29,6649149000","-50,5832429000","31,726"
501,"-29,6659906000","-50,5907722000","31,726"
502,"-29,6659906000","-50,5906745000","31,726"
503,"-29,6646216000","-50,5838296000","31,729"
504,"-29,6654039000","-50,5810916000","31,732"
505,"-29,6648172000","-50,5834384000","31,735"
506,"-29,6648172000","-50,5833406000","31,735"
507,"-29,6652083000","-50,5902833000","31,736"
508,"-29,6653061000","-50,5819717000","31,737"
509,"-29,6647194000","-50,5836340000","31,739"
510,"-29,6692174000","-50,5918479000","31,741"
511,"-29,6654039000","-50,5809938000","31,742"
512,"-29,6642304000","-50,5889143000","31,743"
513,"-29,6642304000","-50,5888166000","31,743"
514,"-29,6652083000","-50,5821672000","31,744"
515,"-29,6652083000","-50,5822650000","31,744"
516,"-29,6653061000","-50,5808960000","31,745"
517,"-29,6647194000","-50,5890121000","31,746"
518,"-29,6643282000","-50,5891099000","31,747"
519,"-29,6653061000","-50,5807005000","31,748"
520,"-29,6633504000","-50,5865675000","31,749"
521,"-29,6656972000","-50,5910656000","31,750"
522,"-29,6653061000","-50,5818739000","31,752"
523,"-29,6651105000","-50,5901855000","31,757"
524,"-29,6652083000","-50,5823628000","31,758"
525,"-29,6646216000","-50,5840251000","31,758"
526,"-29,6634482000","-50,5871542000","31,758"
527,"-29,6641327000","-50,5884254000","31,761"
528,"-29,6629593000","-50,5858830000","31,762"
529,"-29,6648172000","-50,5832429000","31,762"
530,"-29,6650127000","-50,5830473000","31,764"
531,"-29,6646216000","-50,5837318000","31,765"
532,"-29,6647194000","-50,5835362000","31,766"
533,"-29,6652083000","-50,5807982000","31,767"
534,"-29,6652083000","-50,5826561000","31,772"
535,"-29,6644260000","-50,5839273000","31,773"
536,"-29,6693152000","-50,5918479000","31,773"
537,"-29,6696086000","-50,5923368000","31,773"
538,"-29,6654039000","-50,5898922000","31,775"
539,"-29,6649149000","-50,5831451000","31,777"
540,"-29,6693152000","-50,5923368000","31,778"
541,"-29,6652083000","-50,5820694000","31,779"
542,"-29,6651105000","-50,5828517000","31,784"
543,"-29,6652083000","-50,5824606000","31,785"
544,"-29,6653061000","-50,5809938000","31,785"
545,"-29,6651105000","-50,5822650000","31,786"
546,"-29,6645238000","-50,5838296000","31,789"
547,"-29,6652083000","-50,5825584000","31,789"
548,"-29,6651105000","-50,5806027000","31,794"
549,"-29,6653061000","-50,5810916000","31,795"
550,"-29,6647194000","-50,5834384000","31,800"
551,"-29,6647194000","-50,5833406000","31,800"
552,"-29,6653061000","-50,5896966000","31,801"
553,"-29,6646216000","-50,5836340000","31,804"
554,"-29,6685330000","-50,5923368000","31,804"
555,"-29,6652083000","-50,5819717000","31,807"
556,"-29,6640349000","-50,5845140000","31,809"
557,"-29,6651105000","-50,5823628000","31,813"
558,"-29,6652083000","-50,5808960000","31,815"
559,"-29,6652083000","-50,5806027000","31,816"
560,"-29,6698042000","-50,5924346000","31,816"
561,"-29,6647194000","-50,5832429000","31,817"
562,"-29,6648172000","-50,5831451000","31,818"
563,"-29,6650127000","-50,5807982000","31,818"
564,"-29,6651105000","-50,5821672000","31,818"
565,"-29,6652083000","-50,5818739000","31,824"
566,"-29,6651105000","-50,5827539000","31,826"
567,"-29,6649149000","-50,5835362000","31,827"
568,"-29,6650127000","-50,5829495000","31,828"
569,"-29,6662839000","-50,5914567000","31,831"
570,"-29,6645238000","-50,5837318000","31,835"
571,"-29,6633504000","-50,5852963000","31,836"
572,"-29,6646216000","-50,5835362000","31,838"
573,"-29,6691197000","-50,5918479000","31,840"
574,"-29,6651105000","-50,5824606000","31,841"
575,"-29,6649149000","-50,5830473000","31,844"
576,"-29,6634482000","-50,5854919000","31,846"
577,"-29,6651105000","-50,5807005000","31,848"
578,"-29,6652083000","-50,5817761000","31,850"
579,"-29,6631548000","-50,5858830000","31,851"
580,"-29,6651105000","-50,5807982000","31,852"
581,"-29,6686307000","-50,5919457000","31,855"
